Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
Central,Nuwaraeliya,Lindula,30/05/2021,243
Central,Nuwaraeliya,Maskeliya,29/05/2021,88
Central,Nuwaraeliya,Mathurata,30/05/2021,55
Central,Nuwaraeliya,Nawathispane,30/05/2021,220
Central,Nuwaraeliya,Nuwaraeliya,31/05/2021,496
Central,Nuwaraeliya,Nuwaraeliya MC,27/05/2021,268
Central,Nuwaraeliya,Ragala,30/05/2021,139
Central,Nuwaraeliya,Walapane,31/05/2021,190
Central,Nuwaraeliya,Araliya Hotel Qc,1/4/2021,6
Central,Nuwaraeliya,Ashford Hotel QC,19/01/2021,3
Central,Nuwaraeliya,"QC NUWARAELIYA
LAKE SIDE HOTEL",30/04/2021,14
Central,Nuwaraeliya,QC KOTAGALA,26/05/2021,104
Central,Nuwaraeliya,QC SRIPADA,12/5/2021,41
Central,Nuwaraeliya,"WHITE BLOCK GEST
HOUSE",30/04/2021,3
Sabaragamuwa,Kegalle,Aranayake,29/05/2021,104
Sabaragamuwa,Kegalle,Bulathkohupitiya,31/05/2021,129
Sabaragamuwa,Kegalle,Dehiovita,31/05/2021,262
Sabaragamuwa,Kegalle,Deraniyagala,31/05/2021,193
Sabaragamuwa,Kegalle,Galigamuwa,31/05/2021,169
Sabaragamuwa,Kegalle,Kegalle,30/05/2021,341
Sabaragamuwa,Kegalle,Mawanella,30/05/2021,182
Sabaragamuwa,Kegalle,Rambukkana,31/05/2021,177
Sabaragamuwa,Kegalle,Ruwanwella,31/05/2021,337
Sabaragamuwa,Kegalle,Warakapola,30/05/2021,403
Sabaragamuwa,Kegalle,Yatiyanthota,31/05/2021,170
Sabaragamuwa,Ratnapura,Ayagama,29/05/2021,154
Sabaragamuwa,Ratnapura,Balangoda,29/05/2021,280
Sabaragamuwa,Ratnapura,Eheliyagoda,31/05/2021,1027
Sabaragamuwa,Ratnapura,Elapatha,31/05/2021,184
Sabaragamuwa,Ratnapura,"Embilipitiya North
(Udawawala)",28/05/2021,111
Sabaragamuwa,Ratnapura,Embilipitiya South,31/05/2021,357
Sabaragamuwa,Ratnapura,Godakawela,31/05/2021,209
Sabaragamuwa,Ratnapura,Imbulpe,31/05/2021,144
Sabaragamuwa,Ratnapura,Kahawathta,28/05/2021,312
Sabaragamuwa,Ratnapura,Kalawana,31/05/2021,512
Sabaragamuwa,Ratnapura,Kiriella,31/05/2021,364
Sabaragamuwa,Ratnapura,Kolonna,31/05/2021,110
Sabaragamuwa,Ratnapura,Kuruwita,31/05/2021,691
Sabaragamuwa,Ratnapura,Nivithigala,31/05/2021,228
Sabaragamuwa,Ratnapura,Opanayaka,30/05/2021,102
Sabaragamuwa,Ratnapura,Palmadulla,31/05/2021,408
Sabaragamuwa,Ratnapura,Ratnapura MC,31/05/2021,509
Sabaragamuwa,Ratnapura,Ratnapura PS,31/05/2021,283
Sabaragamuwa,Ratnapura,Weligepola,26/05/2021,76
Northern,Jaffna,Chankanai,30/05/2021,55
Northern,Jaffna,Chavakachcheri,31/05/2021,261
Northern,Jaffna,Jaffna,30/05/2021,902
Northern,Jaffna,Karainagar,19/05/2021,16
Northern,Jaffna,Karaveddy,29/05/2021,126
Northern,Jaffna,Kayts,24/05/2021,27
Northern,Jaffna,Kopay,30/05/2021,140
Northern,Jaffna,Maruthankerny,30/05/2021,17
Northern,Jaffna,Nallur,31/05/2021,487
Northern,Jaffna,Point Pedro,26/05/2021,126
Northern,Jaffna,Sandilipay,22/05/2021,118
Northern,Jaffna,Tellipalai,25/05/2021,190
Northern,Jaffna,Uduvil,31/05/2021,202
Northern,Jaffna,Velanai,14/05/2021,13
